team,adj Rank,adj Net EPA/play,raw Rank,raw Net EPA/play
Louisiana Tech,100.0,-0.004,101.0,-0.076
Temple,101.0,-0.013,109.0,-0.158
Minnesota,102.0,-0.016,96.0,-0.052
Ohio,103.0,-0.023,110.0,-0.178
Bowling Green,104.0,-0.024,99.5,-0.068
Charlotte,105.0,-0.029,90.0,-0.035
Middle Tennessee,106.0,-0.033,128.0,-0.534
Washington State,107.0,-0.036,76.0,0.019
Georgia State,108.0,-0.057,106.0,-0.13
Wake Forest,109.5,-0.058,41.0,0.176
New Mexico,109.5,-0.058,102.0,-0.093
Miami (OH),111.5,-0.061,124.0,-0.329
Georgia Southern,111.5,-0.061,126.0,-0.422
Hawai'i,113.0,-0.065,117.0,-0.241
Arkansas State,114.0,-0.068,104.0,-0.119
Colorado,115.0,-0.076,97.0,-0.059
Miami,116.0,-0.079,111.5,-0.18
North Texas,117.0,-0.081,103.0,-0.102
Illinois,118.0,-0.086,114.0,-0.207
Ball State,119.0,-0.092,121.0,-0.297
Akron,120.0,-0.096,107.0,-0.138
Northern Illinois,121.0,-0.1,122.0,-0.3
Louisiana Monroe,122.0,-0.103,130.0,-0.777
UMass,123.0,-0.108,118.0,-0.246
Rice,124.0,-0.119,127.0,-0.49
Kansas,125.0,-0.128,125.0,-0.351
Arizona,126.0,-0.138,113.0,-0.19
South Florida,127.0,-0.148,119.0,-0.267
Navy,128.0,-0.164,120.0,-0.279
New Mexico State,129.0,-0.181,116.0,-0.216
Connecticut,130.0,-0.384,129.0,-0.7
