team,adj Rank,adj Def EPA/play,raw Rank,raw Def EPA/play
Ohio State,76.0,0.177,74.0,0.191
Northwestern,77.0,0.178,89.0,0.234
Navy,78.0,0.178,59.0,0.159
Texas,79.0,0.181,99.0,0.282
Coastal Carolina,80.0,0.182,78.0,0.198
Buffalo,81.0,0.188,68.0,0.176
SMU,82.0,0.189,79.0,0.2
Minnesota,83.0,0.19,84.0,0.217
Memphis,84.0,0.193,88.0,0.233
Eastern Michigan,85.0,0.193,95.0,0.264
Nevada,86.0,0.194,102.0,0.288
California,87.0,0.196,87.0,0.231
Ole Miss,88.0,0.2,75.0,0.194
Nebraska,89.0,0.2,81.0,0.206
Texas State,90.0,0.2,94.0,0.263
Western Michigan,91.0,0.2,121.0,0.362
East Carolina,92.0,0.204,114.0,0.321
Louisville,93.0,0.204,113.0,0.319
BYU,94.0,0.209,65.0,0.168
New Mexico,95.0,0.21,63.0,0.166
Washington State,96.0,0.21,85.0,0.222
Louisiana Monroe,97.0,0.212,127.0,0.468
Marshall,98.0,0.212,76.0,0.194
Florida State,99.0,0.212,83.0,0.208
Vanderbilt,100.0,0.215,104.0,0.297
Ohio,101.0,0.215,108.0,0.307
Arizona,102.0,0.216,72.0,0.186
Army,103.0,0.216,92.0,0.254
Virginia,104.0,0.217,111.0,0.311
Ball State,105.0,0.22,110.0,0.31
TCU,106.0,0.221,106.0,0.299
Georgia State,107.0,0.224,105.0,0.297
Duke,108.0,0.227,91.0,0.244
Utah State,109.0,0.229,100.0,0.283
Charlotte,110.0,0.235,96.0,0.267
Miami,111.0,0.236,107.0,0.307
Louisiana,112.0,0.238,109.0,0.309
Wake Forest,113.0,0.239,60.0,0.16
Rice,114.0,0.241,120.0,0.361
Hawai'i,115.0,0.245,115.0,0.333
North Texas,116.0,0.25,103.0,0.29
Miami (OH),117.0,0.253,124.0,0.384
Louisiana Tech,118.0,0.256,112.0,0.318
Georgia Southern,119.0,0.263,128.0,0.473
Illinois,120.0,0.269,119.0,0.357
UTEP,121.0,0.273,93.0,0.254
South Florida,122.0,0.275,116.0,0.338
Kansas,123.0,0.278,122.0,0.374
UMass,124.0,0.284,126.0,0.417
Arkansas State,125.0,0.298,125.0,0.395
New Mexico State,126.0,0.312,118.0,0.354
Akron,127.0,0.315,117.0,0.343
Florida International,128.0,0.322,123.0,0.374
Northern Illinois,129.0,0.325,129.0,0.562
Connecticut,130.0,0.429,130.0,0.593
